Player1,Player2,Relationship
Anawim Housing,AARP,0
Beacon of Life ,AARP,0
Bridges of Iowa,AARP,0
Capax Infiniti,AARP,0
Catholic Charities,AARP,0
Central Iowa Regional Housing Authority,AARP,0
CISS,AARP,1
CHI,AARP,0
CFI,AARP,0
DSM CAA,AARP,0
DSM Housing Services,AARP,0
DSM Comm. Dev,AARP,0
DSM Nghr Cons. Srvs,AARP,0
WDM,AARP,0
Clive ,AARP,0
Windsor Heights,AARP,0
CommonBond,AARP,0
DSM HRC,AARP,0
DSM Neighbors,AARP,0
Eyerly Ball,AARP,0
GDM HfH,AARP,0
G DSM Partnership/ Cap Crossroads,AARP,0
Hawthorn Hill,AARP,0
Hope Ministries,AARP,0
HOME Inc.,AARP,1
House of Mercy,AARP,0
Iowa Coalition Against Domestic Violence,AARP,0
Iowa Coalition agains Sexual Assault,AARP,0
IFA,AARP,0
Iowa Legal Aid,AARP,0
Iowa HCR,AARP,0
Latinas Unidas,AARP,0
LSI,AARP,0
Monsoon,AARP,0
NFC,AARP,0
Neighborhood Associations,AARP,0
Primary HC,AARP,0
PCHTF,AARP,1
PCHC,AARP,0
Rebuilding,AARP,2
The Tomorrow Plan,AARP,0
USCRI,AARP,0
United Way,AARP,0
Urban Dreams,AARP,0
YMCA,AARP,0
YESS,AARP,0
Beacon of Life ,Anawim Housing,1
Bridges of Iowa,Anawim Housing,0
Capax Infiniti,Anawim Housing,0
Catholic Charities,Anawim Housing,1
Central Iowa Regional Housing Authority,Anawim Housing,0
CISS,Anawim Housing,1
CHI,Anawim Housing,0
CFI,Anawim Housing,2
DSM CAA,Anawim Housing,2
DSM Housing Services,Anawim Housing,2
DSM Comm. Dev,Anawim Housing,2
DSM Nghr Cons. Srvs,Anawim Housing,0
WDM,Anawim Housing,0
Clive ,Anawim Housing,0
Windsor Heights,Anawim Housing,0
CommonBond,Anawim Housing,0
DSM HRC,Anawim Housing,1
DSM Neighbors,Anawim Housing,1
Eyerly Ball,Anawim Housing,0
GDM HfH,Anawim Housing,2
G DSM Partnership/ Cap Crossroads,Anawim Housing,1
Hawthorn Hill,Anawim Housing,2
Hope Ministries,Anawim Housing,1
HOME Inc.,Anawim Housing,2
House of Mercy,Anawim Housing,0
Iowa Coalition Against Domestic Violence,Anawim Housing,0
Iowa Coalition agains Sexual Assault,Anawim Housing,0
IFA,Anawim Housing,2
Iowa Legal Aid,Anawim Housing,1
Iowa HCR,Anawim Housing,0
Latinas Unidas,Anawim Housing,1
LSI,Anawim Housing,0
Monsoon,Anawim Housing,1
NFC,Anawim Housing,1
Neighborhood Associations,Anawim Housing,1
Primary HC,Anawim Housing,2
PCHTF,Anawim Housing,2
PCHC,Anawim Housing,2
Rebuilding,Anawim Housing,1
The Tomorrow Plan,Anawim Housing,1
USCRI,Anawim Housing,0
United Way,Anawim Housing,0
Urban Dreams,Anawim Housing,0
YMCA,Anawim Housing,1
YESS,Anawim Housing,1
Bridges of Iowa,Beacon of Life,1
Capax Infiniti,Beacon of Life,2
Catholic Charities,Beacon of Life,1
Central Iowa Regional Housing Authority,Beacon of Life,1
CISS,Beacon of Life,1
CHI,Beacon of Life,0
CFI,Beacon of Life,1
DSM CAA,Beacon of Life,2
DSM Housing Services,Beacon of Life,1
DSM Comm. Dev,Beacon of Life,0
DSM Nghr Cons. Srvs,Beacon of Life,0
WDM,Beacon of Life,1
Clive ,Beacon of Life,0
Windsor Heights,Beacon of Life,0
CommonBond,Beacon of Life,0
DSM HRC,Beacon of Life,0
DSM Neighbors,Beacon of Life,0
Eyerly Ball,Beacon of Life,1
GDM HfH,Beacon of Life,1
G DSM Partnership/ Cap Crossroads,Beacon of Life,0
