"departure city","long. departure (decimal)","lat. departure (decimal)","departure country","arrival city","long. departure (decimal)","lat. departure (decimal)","arrival country","number of routes","distance"
"Sao Paulo",-46.116,-23.054,"Brazil","Rio De Janeiro",-42.74,-22.682,"Brazil",18,348
"Rio De Janeiro",-42.74,-22.682,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",18,348
"Beijing",116.974,40.133,"China","Shanghai",122.342,31.238,"China",18,1100
"Johannesburg",28.41,-25.566,"South Africa","Cape Town",19.002,-33.942,"South Africa",16,1299
"Honolulu",-157.871,21.531,"United States","Tokyo",140.643,36.274,"Japan",16,6103
"Tokyo",140.643,36.274,"Japan","Honolulu",-157.871,21.531,"United States",16,6103
"Tokyo",140.643,36.274,"Japan","Seoul",126.75,37.781,"South Korea",15,1243
"Seoul",126.75,37.781,"South Korea","Tokyo",140.643,36.274,"Japan",15,1243
"Tokyo",140.643,36.274,"Japan","Los Angeles",-118.014,34.57,"United States",15,8691
"Los Angeles",-118.014,34.57,"United States","Tokyo",140.643,36.274,"Japan",15,8691
"Shanghai",122.342,31.238,"China","Beijing",116.974,40.133,"China",15,1100
"Hong Kong",114.524,22.514,"Hong Kong","Bangkok",101.245,14.135,"Thailand",14,1681
"Bangkok",101.245,14.135,"Thailand","Hong Kong",114.524,22.514,"Hong Kong",14,1681
"Taipei",121.388,25.129,"Taiwan","Shanghai",122.342,31.238,"China",14,685
"Shanghai",122.342,31.238,"China","Taipei",121.388,25.129,"Taiwan",14,685
"Cape Town",19.002,-33.942,"South Africa","Johannesburg",28.41,-25.566,"South Africa",14,1299
"Kigali",30.232,-1.948,"Rwanda","Entebbe",32.739,0.07,"Uganda",14,357
"Shanghai",122.342,31.238,"China","Hong Kong",114.524,22.514,"Hong Kong",14,1240
"Hong Kong",114.524,22.514,"Hong Kong","Shanghai",122.342,31.238,"China",14,1240
"Muscat",58.474,23.988,"Oman","Abu Dhabi",55.085,24.721,"United Arab Emirates",13,352
"New York",-73.632,41.066,"United States","London",-0.103,51.795,"United Kingdom",13,5512
"Abu Dhabi",55.085,24.721,"United Arab Emirates","Muscat",58.474,23.988,"Oman",13,352
"Shenzhen",114.351,23.065,"China","Shanghai",122.342,31.238,"China",13,1203
"Shanghai",122.342,31.238,"China","Shenzhen",114.351,23.065,"China",13,1203
"Taipei",121.388,25.129,"Taiwan","Tokyo",140.643,36.274,"Japan",12,2212
"Tokyo",140.643,36.274,"Japan","Taipei",121.388,25.129,"Taiwan",12,2212
"Sao Paulo",-46.116,-23.054,"Brazil","Belo Horizonte",-43.949,-19.39,"Brazil",12,465
"New York",-73.632,41.066,"United States","Washington",-77.094,39.574,"United States",12,337
"Washington",-77.094,39.574,"United States","New York",-73.632,41.066,"United States",12,337
"Qingdao",120.624,36.443,"China","Shanghai",122.342,31.238,"China",12,600
"Shanghai",122.342,31.238,"China","Qingdao",120.624,36.443,"China",12,600
"Shanghai",122.342,31.238,"China","Chongqing",107.069,30.198,"China",12,1463
"Chongqing",107.069,30.198,"China","Shanghai",122.342,31.238,"China",12,1463
"Singapore",104.657,1.583,"Singapore","Jakarta",107.093,-5.543,"Indonesia",11,837
"Jakarta",107.093,-5.543,"Indonesia","Singapore",104.657,1.583,"Singapore",11,837
"Sydney",151.295,-33.911,"Australia","Melbourne",145.405,-37.456,"Australia",11,661
"Beijing",116.974,40.133,"China","Tokyo",140.643,36.274,"Japan",11,2105
"Tokyo",140.643,36.274,"Japan","Beijing",116.974,40.133,"China",11,2105
"London",-0.103,51.795,"United Kingdom","Geneva",6.181,46.396,"Switzerland",11,754
"Geneva",6.181,46.396,"Switzerland","London",-0.103,51.795,"United Kingdom",11,754
"Sao Paulo",-46.116,-23.054,"Brazil","Buenos Aires",-58.227,-34.704,"Argentina",11,1748
"Buenos Aires",-58.227,-34.704,"Argentina","Sao Paulo",-46.116,-23.054,"Brazil",11,1748
"Singapore",104.657,1.583,"Singapore","Tokyo",140.643,36.274,"Japan",11,5343
"Tokyo",140.643,36.274,"Japan","Singapore",104.657,1.583,"Singapore",11,5343
"Chicago",-87.842,42.631,"United States","New York",-73.632,41.066,"United States",11,1188
"New York",-73.632,41.066,"United States","Chicago",-87.842,42.631,"United States",11,1188
"Sao Paulo",-46.116,-23.054,"Brazil","Brasilia",-47.865,-15.786,"Brazil",11,828
"Bahrain",51.056,26.451,"Bahrain","Doha",51.941,25.435,"Qatar",11,143
"London",-0.103,51.795,"United Kingdom","Frankfurt",8.905,50.044,"Germany",11,660
"Xi'an",109.252,34.745,"China","Shanghai",122.342,31.238,"China",11,1280
"Shanghai",122.342,31.238,"China","Xi'an",109.252,34.745,"China",11,1280
"Moscow",38.51,55.681,"Russia","St. Petersburg",30.437,60.333,"Russia",11,701
"Shanghai",122.342,31.238,"China","Chengdu",104.578,30.964,"China",11,1689
"Chengdu",104.578,30.964,"China","Shanghai",122.342,31.238,"China",11,1689
"Quito",-78.148,0.431,"Ecuador","Guayaquil",-79.806,-1.596,"Ecuador",11,291
"Belo Horizonte",-43.949,-19.39,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",10,465
"Brasilia",-47.865,-15.786,"Brazil","Sao Paulo",-46.116,-23.054,"Brazil",10,828
"Tenerife",-16.288,28.074,"Spain","London",-0.103,51.795,"United Kingdom",10,2961
"London",-0.103,51.795,"United Kingdom","Tenerife",-16.288,28.074,"Spain",10,2961
"Seoul",126.75,37.781,"South Korea","Shanghai",122.342,31.238,"China",10,831
"Tokyo",140.643,36.274,"Japan","Hong Kong",114.524,22.514,"Hong Kong",10,2942
"Hong Kong",114.524,22.514,"Hong Kong","Tokyo",140.643,36.274,"Japan",10,2942
"Shanghai",122.342,31.238,"China","Tokyo",140.643,36.274,"Japan",10,1778
"Tokyo",140.643,36.274,"Japan","Shanghai",122.342,31.238,"China",10,1778
"London",-0.103,51.795,"United Kingdom","Belfast",-5.694,55.095,"United Kingdom",10,520
