"city departure","city arrival","number passengers 1990","number passengers 1995","number passengers 2000","number passengers 2005","number passengers 2010"
"Denver,CO","London,United Kingdom",44807,9264,118389,86566,121289
"Denver,CO","Manchester,United Kingdom",1685,0,0,0,0
"Denver,CO","Melbourne,Australia",178,0,0,0,0
"Denver,CO","Mexico City,Mexico",10977,6248,10385,27802,27538
"Denver,CO","Mazatlan,Mexico",13715,7083,9345,16988,9081
"Denver,CO","Tokyo,Japan",377,206,6836,9060,5456
"Denver,CO","Puerto Vallarta,Mexico",14729,21009,40449,66162,46892
"Denver,CO","San Jose del Cabo,Mexico",4990,7533,21058,41307,33363
"Denver,CO","Sydney,Australia",56,0,0,0,0
"Denver,CO","Edmonton,Canada",12,56,22061,32276,58695
"Denver,CO","Montreal,Canada",309,1019,17518,11,22477
"Denver,CO","Vancouver,Canada",29637,8118,78209,85549,80978
"Denver,CO","Calgary,Canada",25444,43516,77933,80042,91212
"Dallas/Fort Worth,TX","Acapulco,Mexico",73706,48052,39666,18197,9950
"Dallas/Fort Worth,TX","Bangkok,Thailand",5915,0,0,0,0
"Dallas/Fort Worth,TX","Brussels,Belgium",2255,0,23875,0,0
"Dallas/Fort Worth,TX","Cancun,Mexico",99985,205784,252842,271703,261044
"Dallas/Fort Worth,TX","Cozumel,Mexico",20071,24283,44442,47058,46639
"Dallas/Fort Worth,TX","Frankfurt,West Germany",104444,0,0,0,0
"Dallas/Fort Worth,TX","Guadalajara,Mexico",46795,54918,94141,84378,65103
"Dallas/Fort Worth,TX","Hamburg,West Germany",131,0,0,0,0
"Dallas/Fort Worth,TX","Hong Kong,Hong Kong",97,0,0,0,0
"Dallas/Fort Worth,TX","London,United Kingdom",156711,166538,217964,220793,241199
"Dallas/Fort Worth,TX","Madrid,Spain",43814,5022,3335,0,64423
"Dallas/Fort Worth,TX","Mexico City,Mexico",230521,240323,285202,224280,193954
"Dallas/Fort Worth,TX","Merida,Mexico",2434,0,74,0,0
"Dallas/Fort Worth,TX","Monterrey,Mexico",73857,97027,124065,107253,104087
"Dallas/Fort Worth,TX","Munich,West Germany",716,0,0,0,0
"Dallas/Fort Worth,TX","Nassau,The Bahamas",7637,1605,361,13651,13233
"Dallas/Fort Worth,TX","Tokyo,Japan",46798,60635,108290,128761,150597
"Dallas/Fort Worth,TX","Paris,France",52052,48619,56897,61982,58854
"Dallas/Fort Worth,TX","Puerto Plata,Dominican Republic",2658,0,0,0,0
"Dallas/Fort Worth,TX","Puerto Vallarta,Mexico",66443,62196,50252,93145,91444
"Dallas/Fort Worth,TX","Philipsburg,Netherlands Antilles",6312,0,1688,0,0
"Dallas/Fort Worth,TX","Edmonton,Canada",7769,18852,183,411,349
"Dallas/Fort Worth,TX","Vancouver,Canada",273,76978,142383,101145,104679
"Dallas/Fort Worth,TX","Calgary,Canada",43974,84765,92829,63004,69498
"Dallas/Fort Worth,TX","Toronto,Canada",111307,121102,142626,124206,131029
"Dallas/Fort Worth,TX","Ixtapa/Zihuatanejo,Mexico",4584,673,6510,6352,3009
"Dallas/Fort Worth,TX","Zurich,Switzerland",2414,0,37160,64804,123
"Dhahran,Saudi Arabia","Washington,DC",225,400,0,0,0
"Dhahran,Saudi Arabia","New York,NY",1946,2147,0,0,0
"Dakar,Senegal","New York,NY",8428,10513,25215,18587,20692
"Denpasar,Indonesia","Guam,TT",22523,21150,23982,12236,0
"Denpasar,Indonesia","Honolulu,HI",3655,4,0,0,0
"Denpasar,Indonesia","Los Angeles,CA",13323,14,0,0,0
"Des Moines,IA","Toronto,Canada",313,0,0,61,70
"Detroit,MI","Acapulco,Mexico",10557,10215,8750,4078,338
"Detroit,MI","Amsterdam,Netherlands",4665,176107,449123,373635,304569
"Detroit,MI","Aruba,Aruba",5645,6543,16343,6149,71
"Detroit,MI","Hamilton,Bermuda",144,183,0,1735,7
"Detroit,MI","Paris,France",45034,65918,77888,117025,70323
"Detroit,MI","Cancun,Mexico",29140,53861,76193,88015,86859
"Detroit,MI","Freeport,The Bahamas",3925,0,0,0,0
"Detroit,MI","Frankfurt,West Germany",55922,0,0,0,0
"Detroit,MI","Grand Cayman,Cayman Islands",9224,10874,9218,1572,2400
"Detroit,MI","London,United Kingdom",107616,125103,184655,139340,74905
"Detroit,MI","Montego Bay,Jamaica",20113,16449,15835,14641,20004
"Detroit,MI","Nassau,The Bahamas",12916,3854,3578,17032,2935
"Detroit,MI","Tokyo,Japan",98532,160783,149000,226594,119548
"Detroit,MI","Osaka,Japan",554,93005,110640,82217,0
"Detroit,MI","Puerto Vallarta,Mexico",988,9593,11398,16155,9835
"Detroit,MI","Seoul,South Korea",45312,60427,0,0,34822
"Detroit,MI","Shanghai,China",239,0,27525,13421,75993
"Detroit,MI","Taipei,Taiwan",13387,15111,0,45144,8711
"Detroit,MI","Montreal,Canada",105377,105279,104370,89234,62137
"Detroit,MI","Toronto,Canada",160854,182829,132597,117040,100723
"Detroit,MI","Ixtapa/Zihuatanejo,Mexico",1044,1822,1767,1875,0
"Dublin,Ireland","Atlanta,GA",17132,26236,45605,41037,62382
"Dublin,Ireland","Boston,MA",24048,33037,73417,68371,91719
"Dublin,Ireland","New York,NY",73130,108104,139390,174182,236734
"Dublin,Ireland","Chicago,IL",3313,1654,60568,108104,128933
"Dusseldorf,West Germany","New York,NY",40919,0,0,0,0
"Dusseldorf,West Germany","Los Angeles,CA",22707,0,0,0,0
"Dusseldorf,West Germany","Miami,FL",26390,0,0,0,0
"Dusseldorf,West Germany","Chicago,IL",29076,0,0,0,0
"Dusseldorf,West Germany","San Diego,CA",79,0,0,0,0
"Dusseldorf,West Germany","San Francisco,CA",7345,0,0,0,0
"El Paso,TX","Hamburg,West Germany",1,0,0,0,0
"Erie,PA","Toronto,Canada",2263,0,0,0,0
"Eugene,OR","Vancouver,Canada",23,0,363,0,0
"Evansville,IN","Puerto Vallarta,Mexico",101,0,180,0,0
"Newark,NJ","Acapulco,Mexico",7006,865,751,3825,1728
"Newark,NJ","Malaga,Spain",8250,0,0,0,0
"Newark,NJ","Auckland,New Zealand",53,0,0,0,0
"Newark,NJ","Stockholm,Sweden",50109,58733,48130,111271,120514
"Newark,NJ","Aruba,Aruba",28669,45959,35139,63246,86152
"Newark,NJ","Hamilton,Bermuda",54730,53649,56834,57829,52260
"Newark,NJ","Bordeaux,France",3914,0,0,0,0
"Newark,NJ","Paris,France",129109,153046,258687,248445,217640
"Newark,NJ","Cologne,West Germany",5667,0,0,0,0
"Newark,NJ","Copenhagen,Denmark",59490,69453,101709,81129,124757
"Newark,NJ","Cancun,Mexico",30732,75599,103399,108365,135595
"Newark,NJ","Oslo,Norway",43898,58305,48246,33860,57246
"Newark,NJ","Freeport,The Bahamas",2042,12516,0,4572,110
"Newark,NJ","Grand Cayman,Cayman Islands",57,0,753,3900,15096
"Newark,NJ","Kingston,Jamaica",6299,1525,1010,9269,0
"Newark,NJ","London,United Kingdom",270676,340701,616615,510164,530135
"Newark,NJ","Lisbon,Portugal",21042,46899,93405,125898,110191
"Newark,NJ","Montego Bay,Jamaica",42031,19971,43985,58317,27941
"Newark,NJ","Melbourne,Australia",310,0,0,0,0
"Newark,NJ","Mexico City,Mexico",17571,38199,95780,80396,85524
"Newark,NJ","Montpellier,France",1134,0,0,0,0
"Newark,NJ","Marseille,France",3422,0,0,0,0
"Newark,NJ","Nassau,The Bahamas",26373,60905,45762,39999,70109
"Newark,NJ","Tokyo,Japan",49635,60802,70785,76361,79514
"Newark,NJ","Nantes,France",1294,0,0,0,0
"Newark,NJ","Puerto Plata,Dominican Republic",38606,0,17346,24492,44863
"Newark,NJ","Port of Spain,Trinidad and Tobago",373,0,0,11577,17827
"Newark,NJ","Santo Domingo,Dominican Republic",29127,45528,66481,61133,81550
"Newark,NJ","Seoul,South Korea",1899,765,32154,0,0
"Newark,NJ","Philipsburg,Netherlands Antilles",37064,18526,14352,33884,32985
"Newark,NJ","Sydney,Australia",1038,0,0,0,0
"Newark,NJ","Tenerife,Spain",3222,2586,0,0,0
"Newark,NJ","Toulouse,France",2662,0,0,0,0
"Newark,NJ","Taipei,Taiwan",485,39649,48375,49983,52136
"Newark,NJ","Halifax,Canada",2390,25744,36115,50283,55416
"Newark,NJ","Ottawa,Canada",12422,29711,20586,29612,45417
"Newark,NJ","Montreal,Canada",38033,60557,117558,98298,109495
"Newark,NJ","Toronto,Canada",95735,116733,235503,208665,346519
"Ezeiza,Argentina","New York,NY",28544,91240,153663,83395,76413
"Ezeiza,Argentina","Los Angeles,CA",24326,23514,10539,2829,6759
"Ezeiza,Argentina","Miami,FL",116044,302645,328982,151166,276369
"Faro,Portugal","New York,NY",158,0,0,0,0
"Fargo,ND","Toronto,Canada",6,0,19,0,0
"Oslo,Norway","Newark,NJ",42750,58858,49613,33934,57387
"Oslo,Norway","New York,NY",3490,0,637,0,0
"Rome,Italy","Boston,MA",13758,52104,0,27285,72286
"Rome,Italy","New York,NY",393314,332719,248889,188524,280854
"Rome,Italy","Los Angeles,CA",27807,44021,4564,0,37718
"Rome,Italy","Chicago,IL",36695,56905,37191,44794,108195
"Fort de France,Martinique","New York,NY",9429,1280,279,210,0
"Fort de France,Martinique","Miami,FL",9538,6177,2780,5487,629
"Fort de France,Martinique","San Juan,PR",4169,20884,191,368,15791
"Fort Lauderdale,FL","Stockholm,Sweden",9147,0,0,0,0
"Fort Lauderdale,FL","Copenhagen,Denmark",3931,0,0,0,0
"Fort Lauderdale,FL","Freeport,The Bahamas",15920,101445,69199,57964,37535
"Fort Lauderdale,FL","Frankfurt,West Germany",5392,0,0,0,0
"Fort Lauderdale,FL","Gothenburg,Sweden",1669,0,0,0,0
"Fort Lauderdale,FL","Montego Bay,Jamaica",4967,11387,26110,37272,65954
"Fort Lauderdale,FL","Nassau,The Bahamas",89998,84559,153753,221516,204484
"Fort Lauderdale,FL","Hamilton,Canada",1057,0,0,53,2
"Fort Lauderdale,FL","Montreal,Canada",173723,96411,117201,84949,179523
"Fort Lauderdale,FL","Ottawa,Canada",7500,2735,2038,4473,11811
"Fort Lauderdale,FL","Quebec,Canada",31910,14286,13773,10875,10659
"Fort Lauderdale,FL","Winnipeg,Canada",508,0,0,0,0
"Fort Lauderdale,FL","Toronto,Canada",92838,74322,118060,149849,193399
"Fortaleza,Brazil","Orlando,FL",206,1304,0,0,0
"Freeport,The Bahamas","Atlantic City,NJ",179,0,0,0,0
"Freeport,The Bahamas","Boston,MA",2426,1023,4270,0,85
"Freeport,The Bahamas","Baltimore,MD",2778,18781,15199,20961,0
"Freeport,The Bahamas","Cleveland,OH",293,14595,10323,126,0
"Freeport,The Bahamas","Newark,NJ",2461,12516,0,4975,141
"Freeport,The Bahamas","Fort Lauderdale,FL",18230,101701,64374,57479,39799
"Freeport,The Bahamas","Greensboro/High Point,NC",528,0,0,0,0
"Freeport,The Bahamas","Indianapolis,IN",2968,851,128,0,0
